Company,Industry,Phone,Email,Website,Rating,Priority,Address
Pressed Roots,salon,(978) 707-9545,customerservice@pressedroots.com,https://pressedroots.com/,4.5,medium,"320 Singleton Blvd #160, Dallas, TX 75212, USA"
Bigger Better Hair Salon,salon,(214) 734-6596,support@biggerbetterhair.com,https://biggerbetterhair.com/,4.8,high,"3300 Oak Lawn Ave Suite 102, Dallas, TX 75219, USA"
MANE,salon,(214) 531-9157,hello@manesalondallas.com,http://www.manesalondallas.com/,4.9,high,"5321 E Mockingbird Ln #140, Dallas, TX 75206, USA"
Mark Vang Hair Design,salon,(214) 597-8778,wwwhairbymarkvangcom@yahoo.com,https://www.hairbymarkvang.com/,4.9,high,"15203 Knoll Trail Dr Suite 125, Dallas, TX 75248, USA"
Elévate Hair Parlour,salon,(682) 373-0196,elevatehairparlour@gmail.com,https://elevatehairparlour.glossgenius.com/,5.0,high,"5040 Lemmon Ave #160, Dallas, TX 75209, USA"
La Maison Salon,salon,(214) 907-3298,8c4075d5481d476e945486754f783364@sentry.io,http://www.lamaisondallas.com/,5.0,high,"3716 Bowser Ave, Dallas, TX 75219, USA"
Mane Collective | Invisible Bead Extensions,salon,(972) 266-3466,ashley.seyer@icloud.com,http://manecollectivedallas.com/,5.0,high,"1920 N Haskell Ave., Dallas, TX 75204, USA"
Clark and Company,salon,(214) 242-9250,contact@clarkandcompanysalon.com,http://clarkandcompany.hair/,4.9,high,"1130 Dragon St Ste 170, Dallas, TX 75207, USA"
One Studio Salon,salon,(469) 577-0788,onestudiosalon1@gmail.com,http://www.onestudiosalon.com/,5.0,high,"6110 Luther Ln, Dallas, TX 75225, USA"
My Salon Suite,salon,(682) 877-8483,markerclustererplus@5.0.1,https://www.mysalonsuite.com/deepellum?utm_source=google_business&utm_medium=search&utm_campaign=profile,5.0,high,"2900 Canton St Suite 200, Dallas, TX 75226, USA"
Ritual Space,salon,(972) 827-7194,info@ritualspacedallas.com,http://www.ritualspacedallas.com/,5.0,high,"1005 W Jefferson Blvd suite 402e, Dallas, TX 75208, USA"
Unicorn Hair Queen Extensions,salon,(214) 919-3055,service@unicornhairqueen.com,http://www.unicornhairqueen.com/,4.7,medium,"2811 McKinney Ave #22, Dallas, TX 75204, USA"
Shear Sugar Hair Salon & Extensions,salon,(469) 439-8066,shearsugarsalon@gmail.com,https://www.shearsugarsalon.com/,4.9,high,"7324 Gaston Ave Suite 301 Studio 45, Dallas, TX 75214, USA"
The Songbird Society,salon,(214) 443-3871,heyhey@thesongbirdsociety.com,http://www.thesongbirdsociety.com/,4.8,high,"4631 Insurance Ln, Dallas, TX 75205, USA"
JOHN SALON - Dallas Balayage & Hair Extensions,salon,(972) 762-4784,admin@johnsalon.com,https://johnsalon.com/,4.9,high,"7330 Gaston Ave Suite 103, Dallas, TX 75214, USA"
Salon Culture,salon,(682) 272-2197,info@salonculturedallas.com,https://www.salonculture.com/,4.9,high,"8185 Walnut Hill Ln #1405, Dallas, TX 75231, USA"
Blondtourage Salon,salon,(214) 758-0858,info@blondtouragesalon.com,https://blondtouragesalon.com/,4.5,medium,"13465 Inwood Rd Suite 160, Dallas, TX 75244, USA"
Nayoung Salon ❤️New location ❤️ Balayage Japanese hair straighting Digtalperm Smp tattoo men’s perm Head spa Hairextension),salon,(214) 529-8297,contact@sansoxygen.com,https://nayoungsalon.com/,4.8,high,"15070 E Beltwood Pkwy, Addison, TX 75001, USA"
M M M: Mobile Maintenance Mechanics,auto,(214) 998-8556,mobilemmechanics@outlook.com,https://www.mobilemmechanics.com/,5,high,"350 North St. Paul Street #2905, Dallas, TX 75201, USA"
Texas DFW Automotive Repair & Sales,auto,,texasdfwauto@gmail.com,https://dallasfwautorepair.com/,5,high,"902 N Riverfront Blvd, Dallas, TX 75207, USA"
Duha Garage,auto,(214) 384-9812,react@18.3.1,https://dfwabogadosmagazine.wixsite.com/duhagarage,4.9,high,"530 S Riverfront Blvd, Dallas, TX 75207, USA"
Hinga's Automotive Co,auto,(214) 827-1593,react@18.3.1,http://www.hingasauto.com/,4.4,low,"1703 Chestnut St, Dallas, TX 75226, USA"
Ross Auto & Tire Shop,auto,(214) 826-4158,info@rossautotireshop.com,https://rossautotireshop.com/,4.4,low,"5034 Ross Ave, Dallas, TX 75206, USA"
PRO ROADSIDE,auto,(817) 614-1436,proroadside24@gmail.com,https://www.proroadside247.com/,4.9,high,"2800 Cole Ave Apt# 231, Dallas, TX 75204, USA"
Alternative Motorcars auto care center,auto,(214) 443-7911,cs@mechanicaroundme.com,https://mechanicaroundme.com/,4.5,medium,"2500 Oak Lawn Ave, Dallas, TX 75219, USA"
Skillman AutoCare,auto,(214) 823-3544,cccweb@chevron.com,http://www.texaco.com/,4.5,medium,"1803 Skillman St, Dallas, TX 75206, USA"
Love Field Auto,auto,(214) 902-9996,phone@2x.png,https://lovefieldauto.com/,4.8,high,"8558 Denton Dr, Dallas, TX 75235, USA"
Bimmer Repair,auto,(469) 213-1599,bmwdallasrepair@gmail.com,http://bimmerrepairdallas.com/,4.8,high,"2533 Farrington St, Dallas, TX 75207, USA"
Highlands Auto Center,auto,(972) 233-8882,ico-arrow-down@2x.png,https://www.highlandsautocenterdallas.com/,4.5,medium,"10524 E NW Hwy, Dallas, TX 75238, USA"
Pit Pros Automotive,auto,(214) 528-7767,info@pitpros.com,http://www.pitpros.com/,4.6,medium,"2802 Inwood Rd, Dallas, TX 75235, USA"
On the Road Garage,auto,(469) 923-0255,venobox@2.1.6,http://ontheroadgarage.com/,4.5,medium,"202 W Comstock St, Dallas, TX 75208, USA"
Evolution Auto Concepts - Performance Shop,auto,(972) 764-5821,react@18.3.1,https://www.evolutionautoconcepts.com/,4.6,medium,"1209 Belleview St, Dallas, TX 75215, USA"
Jagrover Concept performance automotive,auto,(214) 272-7052,hello@rfuenzalida.com,https://jagrover.net/,4.8,high,"163 Pittsburg St Suite B, Dallas, TX 75207, USA"
Dallas Brake & Alignment,auto,(214) 884-4232,caleb@dallasbrakeandalignment.com,https://www.dallasbrakeandalignment.net/,4.7,medium,"1530 Market Center Blvd, Dallas, TX 75207, USA"
Taylor Auto Repair,auto,(214) 623-5575,ethan.taylorautorepair@gmail.com,https://taylorautorepairdallas.com/,4.8,high,"13654 Floyd Cir, Dallas, TX 75243, USA"
WindshieldHUB,auto,(214) 225-2468,quotes@windshieldhub.com,https://www.windshieldhub.com/texas/dallas?utm_medium=local&utm_source=google&utm_campaign=gbp&utm_term=dallas,4.9,high,"1910 Pacific Ave Suit 2000, Dallas, TX 75201, USA"
Fort Worth Auto Garage,auto,(817) 818-8385,repair@fortworthautogarage.com,http://www.fortworthautogarage.com/,4.9,high,"8851 West Fwy #105, Fort Worth, TX 76116, USA"
24 Hour Mobile Mechanic,auto,(817) 696-0349,hello@rfuenzalida.com,https://itwillnotstart.com/,4.9,high,"1218 NW 25th St, Fort Worth, TX 76106, USA"
Auto Car Care Center,auto,(817) 332-8243,phone@2x.png,https://www.autocarcarecenter.com/,4.9,high,"2731 W 6th St, Fort Worth, TX 76107, USA"
Texas Mobile Mechanics,auto,(817) 382-2377,react@18.3.1,https://www.texmm.com/,4.7,medium,"2501 E Lancaster Ave, Fort Worth, TX 76103, USA"
The Master's Touch Professional Auto Repair,auto,(817) 560-1963,map-pin@2x.png,http://www.masterstouchautorepair.com/,4.8,high,"8855 West Fwy #201, Fort Worth, TX 76116, USA"
RIVER OAKS CAR CARE,auto,(817) 624-6257,anthonynarez@sbcglobal.net,https://river-oaks-car-care-i3czzadsty74qhiw.builder-preview.com/,4.9,high,"3015 N Main St, Fort Worth, TX 76106, USA"
Jewell Automotive - a Main Street Auto shop,auto,(817) 305-8473,blessyourheart@msauto.com,https://mainstreetauto.com/location/jewell-automotive/,4.8,high,"5044 James Ave, Fort Worth, TX 76115, USA"
Rick & Ray's Auto Plaza,auto,(817) 859-9651,flags@2x.webp,https://rickandraysautoplaza.com/?utm_source=Google+Business+Profile&utm_medium=organic&utm_campaign=Google+Business+Profile,4.5,medium,"2425 Cullen St, Fort Worth, TX 76107, USA"
NuBrakes Mobile Brake Repair,auto,(469) 929-9547,nubrakes-logo@white.4812fe52.svg,https://nubrakes.com/cities/fort-worth-brake-repair/?utm_source=google&utm_medium=GMBlisting&utm_campaign=fort-worth,4.9,high,"1751 River Run Suite 200, Fort Worth, TX 76107, USA"
Wade's Auto Repair LLC,auto,(817) 503-0508,wadesautoinfo@yahoo.com,http://www.wadesqualityautorepairs.com/,4.9,high,"6120 Huddleston St, Haltom City, TX 76137, USA"
Cars Best Care,auto,(972) 374-8747,react@18.3.1,https://cbconthego.com/,4.9,high,"5041 David Strickland Rd Suite 111, Fort Worth, TX 76119, USA"
Top Auto Performance & Automotive,auto,(817) 455-4392,react@18.3.1,https://www.topautoperformance.net/,4.9,high,"5025 Sun Valley Dr, Fort Worth, TX 76119, USA"
Mobile Elite Auto,auto,(817) 637-9160,service@mobileeliteauto.com,http://www.mobileeliteauto.com/,4.9,high,"10361 Alta Vista Rd Suite 431, Fort Worth, TX 76244, USA"
Fort Worth Autowerks LLC,auto,(817) 780-0080,service@fortworthautowerks.com,https://fortworthautowerks.com/,4.9,high,"7500 W Vickery Blvd Ste C, Fort Worth, TX 76116, USA"
Das Premier Auto Service LLC,auto,(817) 941-0548,react@18.3.1,https://www.daspremierauto.com/,5,high,"3401 N Sylvania Ave, Fort Worth, TX 76111, USA"
Lifetime Automotive and body work,auto,(817) 207-9363,lifetimeautocare12@gmail.com,https://lifetimeautomotive.net/,4.7,medium,"4600 Granbury Rd, Fort Worth, TX 76133, USA"
MK's Auto Service LLC,auto,(817) 882-6330,info@mksautoservices.com,https://mksautoservices.com/,4.6,medium,"4113 Benbrook Blvd, Fort Worth, TX 76116, USA"
Family Auto Repair,auto,(817) 923-2811,react@18.3.1,https://jamesautocare.wixsite.com/website,4.4,low,"5108 James Ave, Fort Worth, TX 76115, USA"
DZ Tires | Auto Mechanic,auto,(817) 838-6882,20info@dztires.com,https://dztires.com/,4.8,high,"2526 E Belknap St, Fort Worth, TX 76111, USA"
Road Service 1 Auto Repair,auto,(682) 564-6088,react@18.2.0,https://trucking895.wixsite.com/,4.9,high,"5930 Plum St. Suite #148 and#150, 5930 Plum St Suite #148, Watauga, TX 76148, USA"
Hond-Auto Specialists,auto,(817) 338-2900,hello@rfuenzalida.com,http://hond-auto.com/,4.8,high,"2809 Whitmore St, Fort Worth, TX 76107, USA"
G2 Garage,auto,(682) 499-5972,gary@g2garage.com,https://www.g2garage.com/,4.9,high,"105 Russell St, White Settlement, TX 76108, USA"
PrimeOn Automotive,auto,(817) 984-1600,repair@primeonauto.com,http://www.primeonauto.com/,5,high,"3435 May St, Fort Worth, TX 76110, USA"
Mobile Automotive Solutions LLC,auto,(682) 552-7246,info@mysite.com,https://www.mobileautosolutionsllc.com/,4.9,high,"8533 Big Apple Dr, Fort Worth, TX 76179, USA"
Rolling Garage LLC,auto,(682) 350-5994,react@18.3.1,http://rollinggarageautorepair.com/,4.9,high,"1919 Golden Heights Rd unit 209, Fort Worth, TX 76177, USA"
PEAK PERFORMANCE AUTO REPAIR,auto,(682) 385-9487,peakperformanceaa@gmail.com,https://www.peakautorepaire.com/,4.7,medium,"4121 Mansfield Hwy, Forest Hill, TX 76119, USA"
The Auto Shop,auto,(972) 578-0588,service@theautoshop.com,https://theautoshop.com/,4.6,medium,"2560 E Plano Pkwy, Plano, TX 75074, USA"
Mechanics are us,auto,(817) 479-9916,fancybox@3.5.7,http://www.autohailpros.com/,4.4,low,"3209 Premier Dr #117, Plano, TX 75075, USA"
Marlow Automotive,auto,(972) 633-1299,service@marlowautomotive.com,https://marlowautomotive.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,high,"1713 N Central Expy, Plano, TX 75075, USA"
Community Auto Repair Complete Auto Care,auto,(972) 517-0093,mohamadmohamed979@gmail.com,https://www.communityautoplano.com/,4.5,medium,"901 W Spring Creek Pkwy # 100, Plano, TX 75023, USA"
Patriot Express Tire & Oil,auto,(972) 578-1841,contact@example.com,https://patriotexpressauto.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-profile,4.7,medium,"869 Gabb Rd, Plano, TX 75075, USA"
Sam’s Auto Care,auto,(972) 801-5922,react@18.3.1,https://www.samsautoplano.com/,4.5,medium,"4006 W Plano Pkwy STE 270, Plano, TX 75093, USA"
Tidwell Auto Service,auto,(972) 612-1963,ico-arrow-down@2x.png,https://tidwellautoservice.com/,4.5,medium,"3283 Independence Pkwy, Plano, TX 75075, USA"
Autobahn Service Center,auto,(972) 599-0999,service@yourautobahn.com,http://www.yourautobahn.com/,4.9,high,"2812 Regal Rd, Plano, TX 75075, USA"
Discount Auto & Tire Shop / XTREME ALIGNMENTS,auto,(972) 424-6600,team@latofonts.com,http://xtremealignmentdiscountauto.com/,4.6,medium,"900 E Plano Pkwy ste a, Plano, TX 75074, USA"
Domar Automotive,auto,(469) 779-7020,team@latofonts.com,https://domarautomotive.net/?utm_source=omg-gbp&utm_medium=webclick,4.7,medium,"4006 W Plano Pkwy Suite 135, Plano, TX 75093, USA"
Tommy's European Service & Repair,auto,(972) 954-6362,service@tommyseuro.com,https://www.tommyseuro.com/,4.7,medium,"1100 Summit Ave # 106, Plano, TX 75074, USA"
Auto Clinique,auto,(972) 930-9995,whitedolphin.ca@gmail.com,http://theautoclinique.com/,4.6,medium,"17921 Preston Rd, Dallas, TX 75252, USA"
The Auto Pro Shop,auto,(972) 699-9405,repairs@theautoproshop.com,http://www.theautoproshop.com/,4.6,medium,"670 James Dr, Richardson, TX 75080, USA"
Onsite Auto Repair,auto,(972) 679-5325,onsite1998@aol.com,http://onsiteautorepairs.com/,4.7,medium,"4120 W 15th St #106, Plano, TX 75093, USA"
Bruce The Mechanic,auto,(214) 302-7823,bruce@brucethemechanic.com,http://www.brucethemechanic.com/,4.6,medium,"601 J Pl #300, Plano, TX 75074, USA"
Ace Car Care,auto,(469) 923-5685,acecarcareplano@gmail.com,https://www.acecarcare.com/,4.8,high,"902 K Ave SUITE 105, Plano, TX 75074, USA"
All Star Auto,auto,(972) 633-2886,sales@allstarauto.net,https://allstarauto.net/,5,high,"1100 Summit Ave, Plano, TX 75074, USA"
AMP Allen McKinney Plano Auto Hail Repair,auto,(214) 433-2922,ampautohail@gmail.com,http://www.amphail.com/,4.9,high,"2901 N Central Expy Unit 117, Plano, TX 75075, USA"
Take 5 Oil Change,auto,(682) 999-8798,take5.shop501@take5oilchange.com,https://www.take5.com/locations/oil-change/texas/arlington/30501/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,4.2,low,"2210 SE Green Oaks Blvd, Arlington, TX 76018, USA"
Take 5 Oil Change,auto,(682) 238-1069,take5.shop502@take5oilchange.com,https://www.take5.com/locations/oil-change/texas/arlington/30502/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,4.3,low,"5333 Matlock Rd, Arlington, TX 76018, USA"
Valvoline Instant Oil Change,auto,(682) 305-0003,formsubmission@vioc.com,https://store.vioc.com/tx/arlington/1109-e-lamar-blvd?utm_source=google&utm_medium=local&utm_campaign=localsearch,4.8,high,"1109 E Lamar Blvd, Arlington, TX 76011, USA"
Take 5 Oil Change,auto,(682) 248-3508,take5.shop669@take5oilchange.com,https://www.take5.com/locations/oil-change/texas/arlington/30669/,4.8,high,"901 N Cooper St, Arlington, TX 76011, USA"
Valvoline Instant Oil Change,auto,(817) 563-1956,formsubmission@vioc.com,https://store.vioc.com/tx/arlington/4801-w--sublett-road?utm_source=google&utm_medium=local&utm_campaign=localsearch,4.3,low,"4801 W Sublett Rd, Arlington, TX 76017, USA"
Valvoline Instant Oil Change,auto,(817) 200-8402,formsubmission@vioc.com,https://store.vioc.com/tx/arlington/8125-matlock-rd?utm_source=google&utm_medium=local&utm_campaign=localsearch,4.4,low,"8125 Matlock Rd, Arlington, TX 76002, USA"
Take 5 Oil Change,auto,(682) 206-0796,take5.shop925@take5oilchange.com,https://www.take5.com/locations/oil-change/texas/pantego/30925/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,4.1,low,"2500 W Pioneer Pkwy, Pantego, TX 76013, USA"
Just7 Lube & Auto Service,auto,(817) 419-9100,info@just7.us,http://just7.us/,3.9,low,"6310 S Cooper St, Arlington, TX 76001, USA"
Guaranteed Tire & Auto Service,auto,(817) 265-9896,tireguaranteed@gmail.com,https://guaranteedtireauto.com/,4.5,medium,"2118 E Abram St, Arlington, TX 76010, USA"
Midas,auto,(817) 522-1611,lltg-logo-blue@1x.webp,https://www.midas.com/store/tx/arlington/3120-west-pioneer-parkway-76013?shopnum=5329&utm_source=google&utm_medium=maps&utm_campaign=google+maps&y_source=1_MTE1ODY2OTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.8,high,"3120 W Pioneer Pkwy, Arlington, TX 76013, USA"
Advanced Tire & Auto Service,auto,(817) 277-9171,bbbtires@hotmail.com,https://advancedtireandautoservice.com/,4.6,medium,"407 N Cooper St, Arlington, TX 76011, USA"
